Collector ID,Station Name,Latitude ,Longitude,Q1_2019,Q1_2020
1,Verdistr. 73,48.164562,11.472558,42,40
2,Planegger Str. 25,48.143803,11.458095,35,35
3,Eversbuschstr. 171,48.198195,11.458025,38,37
4,Feldmochinger Str. 25a,48.180246,11.52134,31,29
5,Schleißheimer Str. 273,48.180494,11.566872,38,35
6,Rheinstr. 26,48.167189,11.579802,31,28
7,Tegernseer Landstr. 150,48.110008,11.578216,62,53
8,Chiemgauerstr. 140,48.108306,11.602922,56,50
9,Kreillerstrasse 111,48.125838,11.647471,34,30
10,Bajuwarenstr. 92,48.118962,11.659873,31,28
11,Furstenrieder Str. 283,48.10794,11.50244,34,26
12,Liesl-Karlstadt-Str. 7/9,48.084382,11.493468,39,33
13,Hofbrunnstr. 68,48.085623,11.51202,22,20
14,Frauenstr. 16/18,48.134371,11.577702,49,41
15,Wotanstr. 103a /105,48.15359,11.508872,40,36
17,Lothstr. 62,48.154567,11.554646,32,30
18,Situlisttr. 21,48.189917,11.615126,42,37
19,Ruth-Schaumann-Str.8/10,48.142034,11.646639,27,26
20,Boschetsrieder Str. 83/83a,48.099629,11.52743,30,25
21,Offenbachstr. 48,48.155658,11.46695,33,29
22,Altostr. 24,48.158292,11.414933,31,28
23,Dachauerstr. 264,48.18029,11.513187,34,31
24,Lerchenauerstr. 207,48.198378,11.544561,39,35
25,Dülferstr. 28,48.213917,11.55204,29,28
26,Oberfohringerstr. 236,48.17307,11.628097,31,28
27,Tegernseer Landstr. 19,48.118228,11.582906,46,42
28,Hansastr. 99,48.121978,11.535178,36,33
29,Paul-Heyse-Str. 8,48.138167,11.555853,55,50
30,Sauerbruchstr. 52,48.106781,11.475593,30,26
31,Belgadstr.10,48.1615,11.575,38,31
32,Mühlbaurstr. 31,48.142113,11.612926,32,27
33,Welfenstr. 38,48.122694,11.591855,39,36
34,Bad-Schachner-Str. 69,48.120237,11.6232,39,33
35,Putzbrunnerstr. 5,48.099794,11.632,40,33
36,Humboldstr. 13,48.12054,11.572937,49,43
37,Ridlerstr. 30,48.132423,11.535582,39,33
38,Plinganser Str. 18,48.120716,11.540965,34,39
39,Elsenheimer Str. 53,48.136823,11.52315,34,29
40,Gabelsbergerstr. 81,48.14962,11.561085,38,32
41,Fraunhoferstr. 32,48.128713,11.574979,48,43
42,Allach ,48.18165,11.46444,24,22
43,Johanneskirchen,48.17319,11.64804,23,19
44,Landshuter Allee,48.14955,11.53653,61,56
45,Lothstrasse,48.15455,11.55466,30,27
46,Stachus,48.13732,11.56481,43,36
